131 5	148.75 -46.25
132 5	151.25 -46.25
133 5	153.75 -46.25
134 5	156.25 -46.25
135 5	158.75 -46.25
136 5	161.25 -46.25
137 5	163.75 -46.25
138 5	166.25 -46.25
139 5	168.75 -46.25
140 5	171.25 -46.25
141 5	173.75 -46.25
142 5	176.25 -46.25
143 5	178.75 -46.25
0 6	-178.75 -43.75
1 6	-176.25 -43.75
2 6	-173.75 -43.75
3 6	-171.25 -43.75
4 6	-168.75 -43.75
5 6	-166.25 -43.75
6 6	-163.75 -43.75
7 6	-161.25 -43.75
8 6	-158.75 -43.75
9 6	-156.25 -43.75
10 6	-153.75 -43.75
11 6	-151.25 -43.75
12 6	-148.75 -43.75
13 6	-146.25 -43.75
14 6	-143.75 -43.75
15 6	-141.25 -43.75
16 6	-138.75 -43.75
17 6	-136.25 -43.75
18 6	-133.75 -43.75
19 6	-131.25 -43.75
20 6	-128.75 -43.75
21 6	-126.25 -43.75
22 6	-123.75 -43.75
23 6	-121.25 -43.75
24 6	-118.75 -43.75
25 6	-116.25 -43.75
26 6	-113.75 -43.75
27 6	-111.25 -43.75
28 6	-108.75 -43.75
29 6	-106.25 -43.75
30 6	-103.75 -43.75
31 6	-101.25 -43.75
32 6	-98.75 -43.75
33 6	-96.25 -43.75
34 6	-93.75 -43.75
35 6	-91.25 -43.75
36 6	-88.75 -43.75
37 6	-86.25 -43.75
38 6	-83.75 -43.75
39 6	-81.25 -43.75
40 6	-78.75 -43.75
41 6	-76.25 -43.75
42 6	-73.75 -43.75
43 6	-71.25 -43.75
44 6	-68.75 -43.75
45 6	-66.25 -43.75
46 6	-63.75 -43.75
47 6	-61.25 -43.75
48 6	-58.75 -43.75
49 6	-56.25 -43.75
50 6	-53.75 -43.75
51 6	-51.25 -43.75
52 6	-48.75 -43.75
53 6	-46.25 -43.75
54 6	-43.75 -43.75
55 6	-41.25 -43.75
56 6	-38.75 -43.75
57 6	-36.25 -43.75
58 6	-33.75 -43.75
59 6	-31.25 -43.75
60 6	-28.75 -43.75
61 6	-26.25 -43.75
62 6	-23.75 -43.75
63 6	-21.25 -43.75
64 6	-18.75 -43.75
65 6	-16.25 -43.75
66 6	-13.75 -43.75
67 6	-11.25 -43.75
68 6	-8.75 -43.75
69 6	-6.25 -43.75
70 6	-3.75 -43.75
71 6	-1.25 -43.75
72 6	1.25 -43.75
73 6	3.75 -43.75
74 6	6.25 -43.75
75 6	8.75 -43.75
76 6	11.25 -43.75
77 6	13.75 -43.75
78 6	16.25 -43.75
79 6	18.75 -43.75
80 6	21.25 -43.75
81 6	23.75 -43.75
82 6	26.25 -43.75
83 6	28.75 -43.75
84 6	31.25 -43.75
85 6	33.75 -43.75
86 6	36.25 -43.75
87 6	38.75 -43.75
88 6	41.25 -43.75
89 6	43.75 -43.75
90 6	46.25 -43.75
91 6	48.75 -43.75
92 6	51.25 -43.75
93 6	53.75 -43.75
94 6	56.25 -43.75
95 6	58.75 -43.75
96 6	61.25 -43.75
97 6	63.75 -43.75
98 6	66.25 -43.75
99 6	68.75 -43.75
100 6	71.25 -43.75
101 6	73.75 -43.75
102 6	76.25 -43.75
103 6	78.75 -43.75
104 6	81.25 -43.75
105 6	83.75 -43.75
106 6	86.25 -43.75
107 6	88.75 -43.75
108 6	91.25 -43.75
109 6	93.75 -43.75
110 6	96.25 -43.75
111 6	98.75 -43.75
112 6	101.25 -43.75
113 6	103.75 -43.75
114 6	106.25 -43.75
115 6	108.75 -43.75
116 6	111.25 -43.75
